,count,mean,std,min,25%,50%,75%,max
latitude,107378.0,19.168250352027417,24.444009650592648,-41.3,3.75,17.25,40.4,64.15
longitude,107378.0,22.047440879882288,65.80370445628118,-175.2,-6.8361,23.3167,50.58,179.22
last_updated_epoch,107378.0,1739748944.5845518,13790538.203599926,1715849100.0,1727861400.0,1739787300.0,1751705100.0,1763536500.0
temperature_celsius,107378.0,0.6403353557019256,0.11977422186370817,0.0,0.570850202429149,0.665317139001349,0.7165991902834,1.0
wind_kph,107378.0,0.03534309390336584,0.031288792174854446,0.0,0.0107967237527922,0.0282948622486969,0.0536113179448994,1.0
wind_degree,107378.0,170.69073739499711,102.73201215558142,1.0,83.0,164.0,256.0,360.0
pressure_mb,107378.0,0.5037584882133058,0.052059052683474466,0.0,0.473684210526315,0.496240601503759,0.533834586466165,0.999999999999999
precip_mm,107378.0,0.0033289828181327077,0.014058736592480948,0.0,0.0,0.0,0.000710227272727272,1.0
humidity,107378.0,0.6414012903490658,0.24657170481682666,0.0,0.46938775510204,0.693877551020408,0.836734693877551,1.0
cloud,107378.0,0.3948147665257315,0.338277079574164,0.0,0.0,0.27,0.75,1.0
feels_like_celsius,107378.0,23.576457002365476,10.604359653648663,-35.6,17.4,25.8,30.6,51.2
feels_like_fahrenheit,107378.0,74.43118609026057,19.086098248345277,-32.1,63.3,78.4,87.0,124.2
visibility_km,107378.0,0.30059064123936,0.07932469637811104,0.0,0.3125,0.3125,0.3125,1.0
uv_index,107378.0,0.2285746574768771,0.22110832372229192,0.0,0.0245398773006134,0.165644171779141,0.392638036809815,1.0
gust_kph,107378.0,0.05341121335455305,0.040495202767622564,0.0,0.024655547498187,0.0438723712835388,0.0750543872371283,1.0
air_quality_Carbon_Monoxide,107378.0,0.011002571407203066,0.021101841009371066,0.0,0.00394263359884522,0.00632238662403056,0.0108512614932923,1.0
air_quality_Ozone,107378.0,0.12746212485274525,0.06610964676862285,0.0,0.0852922820886207,0.120657374661951,0.162263365924693,1.0
air_quality_Nitrogen_dioxide,107378.0,0.03646388225822057,0.059300946235684916,0.0,0.00346036941781622,0.0121112929623567,0.0419569791910217,0.999999999999999
air_quality_Sulphur_dioxide,107378.0,0.021189393412985164,0.0468715735563314,0.0,0.00177430801987224,0.00461320085166784,0.0170333569907735,1.0
air_quality_PM2.5,107378.0,0.015570794843987953,0.02445742831787249,0.0,0.00436635496414966,0.00895143041962114,0.0176785639047989,1.0
air_quality_PM10,107378.0,0.008475669296462887,0.0262358877924782,0.0,0.00169484731300775,0.00346721500741578,0.00723473867183734,1.0
air_quality_us-epa-index,107378.0,1.7317327571755854,0.9656278042717344,1.0,1.0,1.0,2.0,6.0
air_quality_gb-defra-index,107378.0,2.6881204716049845,2.516134301676654,1.0,1.0,2.0,3.0,10.0
moon_illumination,107378.0,49.93465141835385,35.04706934482717,0.0,15.0,50.0,85.0,100.0
month,107378.0,7.043416714783289,3.084578128495261,1.0,5.0,7.0,10.0,12.0
