,latitude,longitude,last_updated_epoch,temperature_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,uv_index,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination,month
latitude,1.0,-0.01964823951339193,0.0020202248105109966,-0.29116103617299105,0.023233043862003887,0.16577828134008077,0.013946372285350402,-0.05386349793868425,-0.12483775094444548,-0.0798762405338376,-0.3257643249430319,-0.3257514878610883,-0.009002654013931043,-0.08835296250447952,-0.01005063911838947,-0.05929484700883718,0.11766125345266848,0.20992963441588017,0.07111908109482504,-0.01028226922616618,0.011746345316234313,0.039013070676192245,0.03257673604573037,-0.0004401808974841405,0.0011202785021649075
longitude,-0.01964823951339193,1.0,-0.0021455693321026093,0.15593348085173425,0.06959538679098032,0.07010900384075285,-0.17489713535811255,0.05773354319294164,-0.23230825471355812,0.030502478563500517,0.15617916189682018,0.1561783209700695,0.12359604962212914,0.1155716074564989,0.03744602827402732,0.09846347629628423,0.038662170492973456,0.1385685369311783,0.15246363350578152,0.09651940455114863,0.04212383302940618,0.13574107963003088,0.13605143479946424,7.253797555655504e-05,-0.001295010974550481
last_updated_epoch,0.0020202248105109966,-0.0021455693321026093,1.0,-0.09234002223061637,-0.052079561195627185,-0.005357016906198921,0.06595324617437347,-0.008894237035761044,0.10733607269168377,-0.0035123420229154286,-0.0861782344343765,-0.08618643844711618,-0.017152912627320636,-0.212616060987575,-0.11114906791167253,-0.0257521269987883,-0.1127644747456255,0.0750553931999963,0.020997157120663752,0.03584265664603225,0.01908914305880912,0.07269729832416513,0.05839639009896992,-0.0006289060588209371,0.06865472402325296
temperature_celsius,-0.29116103617299105,0.15593348085173425,-0.09234002223061637,1.0,0.11674908897734922,-0.0245302142806844,-0.48297797845418644,0.017840270328936564,-0.34596988137257423,-0.16194176218747622,0.9789726550732424,0.9789690225657484,0.06129929495918548,0.48048403406053064,0.10610050589207802,-0.03381692888809301,0.26571315887425606,-0.16184972763016153,-0.05669546552905182,0.04427084790056254,0.11465768953657043,0.0795692625537657,0.08232580204016321,-0.005641675346108337,0.03613674373721376
wind_kph,0.023233043862003887,0.06959538679098032,-0.052079561195627185,0.11674908897734922,1.0,0.00561802435108315,-0.17440273461853648,0.0027535218299845274,-0.09622764220892374,0.027676422452796997,0.09133664663752775,0.09137119176298181,0.10219825867624505,0.07480567340516749,0.9245627144055443,-0.14313416443669172,0.12206401096034822,-0.1602708348834004,-0.1056089111283095,-0.05294056960267292,0.07699021273853418,-0.08571112263527698,-0.06979300724371404,-0.0004557099450304996,-0.044449923658775425
wind_degree,0.16577828134008077,0.07010900384075285,-0.005357016906198921,-0.0245302142806844,0.00561802435108315,1.0,-0.08540198585789409,0.009424845802272423,-0.0438093986246593,0.0055645003220827815,-0.03209238920762076,-0.03208102754487313,-0.06855299753439623,0.04483207644722045,-0.0042805583018908555,0.021454156465899245,0.06523830076601751,0.07281139535922015,0.06906928851906895,0.016068503863884274,0.002463159655946716,0.0352551755338012,0.03547246385134687,-0.010148868569967719,0.006303498068595191
pressure_mb,0.013946372285350402,-0.17489713535811255,0.06595324617437347,-0.48297797845418644,-0.17440273461853648,-0.08540198585789409,1.0,-0.11835624639034689,0.016030576656507766,-0.07656319866038845,-0.4834117989742927,-0.4834361952250067,-0.010132826557054471,-0.09616039947722044,-0.21290556074999337,0.006129561379292142,-0.17530412580247637,0.07434993184037068,0.04161667905489575,-0.005286131340605766,-0.041433206532556,0.0022447333304113034,-0.011512058488971915,0.023142416490769195,0.0005239527401096182
precip_mm,-0.05386349793868425,0.05773354319294164,-0.008894237035761044,0.017840270328936564,0.0027535218299845274,0.009424845802272423,-0.11835624639034689,1.0,0.18250868264989586,0.21740181399875794,0.049537144546090255,0.04953687136058089,-0.04638786566699407,-0.0766168461728432,0.053911783835838716,0.01088042083614882,-0.07277421353624249,-0.028432675635821043,-0.03324242578143868,-0.049365647214909346,-0.04258686747952925,-0.07091386693592755,-0.06557665859730336,0.0040996016782479895,0.0036379348880101465
humidity,-0.12483775094444548,-0.23230825471355812,0.10733607269168377,-0.34596988137257423,-0.09622764220892374,-0.0438093986246593,0.016030576656507766,0.18250868264989586,1.0,0.5330926541088857,-0.2300737600902876,-0.2300448830535693,-0.07415355989436356,-0.566742683218348,0.00634933081272181,-0.038520544303663695,-0.43108903549616423,-0.08203888344339025,-0.15676061372862957,-0.19008916699471437,-0.23008079719824312,-0.2530025094801236,-0.2489976702462203,0.0013942102009106454,0.04970855714052895
cloud,-0.0798762405338376,0.030502478563500517,-0.0035123420229154286,-0.16194176218747622,0.027676422452796997,0.0055645003220827815,-0.07656319866038845,0.21740181399875794,0.5330926541088857,1.0,-0.09772399702141564,-0.0976923271626832,-0.043206917388886434,-0.2447743304034671,0.06739384658038804,-0.052257348434333405,-0.23883738856472278,-0.1053137591535505,-0.12931422240916626,-0.1728870589763469,-0.15292001626689813,-0.22514212400223368,-0.22007177270254488,0.004785754136790864,0.012992518088926559
feels_like_celsius,-0.3257643249430319,0.15617916189682018,-0.0861782344343765,0.9789726550732424,0.09133664663752775,-0.03209238920762076,-0.4834117989742927,0.049537144546090255,-0.2300737600902876,-0.09772399702141564,1.0,0.999995251404938,0.07275371173622643,0.411453324103914,0.09795682187364092,-0.02106569957870512,0.195011525449931,-0.16102082301755014,-0.06203681155946809,0.027099991840829202,0.08383224080624302,0.05648017797673584,0.059384588575390335,-0.004205721856174358,0.038068870136573035
